repository,config,mcc
aalaesar/install_nextcloud,config_0_0,0.53159
aalaesar/install_nextcloud,config_0_1,0.47954
aalaesar/install_nextcloud,config_0_2,0.47954
aalaesar/install_nextcloud,config_1_0,0.40947
aalaesar/install_nextcloud,config_1_1,0.47665
aalaesar/install_nextcloud,config_1_2,0.49292
aalaesar/install_nextcloud,config_2_0,0.45484
aalaesar/install_nextcloud,config_2_1,0.44184
aalaesar/install_nextcloud,config_2_2,0.4646
AlbanAndrieu/ansible-jenkins-slave,config_0_0,0.33688
AlbanAndrieu/ansible-jenkins-slave,config_0_1,0.38453
AlbanAndrieu/ansible-jenkins-slave,config_0_2,0.30553
AlbanAndrieu/ansible-jenkins-slave,config_1_0,0.39987
AlbanAndrieu/ansible-jenkins-slave,config_1_1,0.3857
AlbanAndrieu/ansible-jenkins-slave,config_1_2,0.38088
AlbanAndrieu/ansible-jenkins-slave,config_2_0,0.36428
AlbanAndrieu/ansible-jenkins-slave,config_2_1,0.38007
AlbanAndrieu/ansible-jenkins-slave,config_2_2,0.38099
AlexeySetevoi/ansible-clickhouse,config_0_0,100.000
AlexeySetevoi/ansible-clickhouse,config_0_1,100.000
AlexeySetevoi/ansible-clickhouse,config_0_2,100.000
AlexeySetevoi/ansible-clickhouse,config_1_0,0.4714
AlexeySetevoi/ansible-clickhouse,config_1_1,0.4714
AlexeySetevoi/ansible-clickhouse,config_1_2,0.4714
AlexeySetevoi/ansible-clickhouse,config_2_0,100.000
AlexeySetevoi/ansible-clickhouse,config_2_1,100.000
AlexeySetevoi/ansible-clickhouse,config_2_2,100.000
ansible-community/ansible-nomad,config_0_0,0.89497
ansible-community/ansible-nomad,config_0_1,0.88932
ansible-community/ansible-nomad,config_0_2,0.89637
ansible-community/ansible-nomad,config_1_0,0.81831
ansible-community/ansible-nomad,config_1_1,0.82241
ansible-community/ansible-nomad,config_1_2,0.81975
ansible-community/ansible-nomad,config_2_0,0.88254
ansible-community/ansible-nomad,config_2_1,0.88132
ansible-community/ansible-nomad,config_2_2,0.87938
ansible-community/ansible-vault,config_0_0,0.88889
ansible-community/ansible-vault,config_0_1,0.88889
ansible-community/ansible-vault,config_0_2,0.88889
ansible-community/ansible-vault,config_1_0,0.80556
ansible-community/ansible-vault,config_1_1,0.83333
ansible-community/ansible-vault,config_1_2,0.83333
ansible-community/ansible-vault,config_2_0,0.88889
ansible-community/ansible-vault,config_2_1,0.88889
ansible-community/ansible-vault,config_2_2,0.88889
ansible-lockdown/RHEL7-STIG,config_0_0,0.69543
ansible-lockdown/RHEL7-STIG,config_0_1,0.69543
ansible-lockdown/RHEL7-STIG,config_0_2,0.70411
ansible-lockdown/RHEL7-STIG,config_1_0,0.46958
ansible-lockdown/RHEL7-STIG,config_1_1,0.45803
ansible-lockdown/RHEL7-STIG,config_1_2,0.44324
ansible-lockdown/RHEL7-STIG,config_2_0,0.63851
ansible-lockdown/RHEL7-STIG,config_2_1,0.6296
ansible-lockdown/RHEL7-STIG,config_2_2,0.6296
ansible-ThoTeam/nexus3-oss,config_0_0,0.70651
ansible-ThoTeam/nexus3-oss,config_0_1,0.70582
ansible-ThoTeam/nexus3-oss,config_0_2,0.71943
ansible-ThoTeam/nexus3-oss,config_1_0,0.56646
ansible-ThoTeam/nexus3-oss,config_1_1,0.57027
ansible-ThoTeam/nexus3-oss,config_1_2,0.5596
ansible-ThoTeam/nexus3-oss,config_2_0,0.70518
ansible-ThoTeam/nexus3-oss,config_2_1,0.71541
ansible-ThoTeam/nexus3-oss,config_2_2,0.70547
ansistrano/deploy,config_0_0,0.48501
ansistrano/deploy,config_0_1,0.48609
ansistrano/deploy,config_0_2,0.49876
ansistrano/deploy,config_1_0,0.35585
ansistrano/deploy,config_1_1,0.39752
ansistrano/deploy,config_1_2,0.39738
ansistrano/deploy,config_2_0,0.38946
ansistrano/deploy,config_2_1,0.40735
ansistrano/deploy,config_2_2,0.41247
anthcourtney/ansible-role-cis-amazon-linux,config_0_0,0.40509
anthcourtney/ansible-role-cis-amazon-linux,config_0_1,0.41196
anthcourtney/ansible-role-cis-amazon-linux,config_0_2,0.41169
anthcourtney/ansible-role-cis-amazon-linux,config_1_0,0.16052
anthcourtney/ansible-role-cis-amazon-linux,config_1_1,0.1746
anthcourtney/ansible-role-cis-amazon-linux,config_1_2,0.16313
anthcourtney/ansible-role-cis-amazon-linux,config_2_0,0.44642
anthcourtney/ansible-role-cis-amazon-linux,config_2_1,0.38033
anthcourtney/ansible-role-cis-amazon-linux,config_2_2,0.38033
antoiner77/caddy-ansible,config_0_0,0.5966
antoiner77/caddy-ansible,config_0_1,0.5966
antoiner77/caddy-ansible,config_0_2,0.5966
antoiner77/caddy-ansible,config_1_0,0.51571
antoiner77/caddy-ansible,config_1_1,0.51571
antoiner77/caddy-ansible,config_1_2,0.51571
antoiner77/caddy-ansible,config_2_0,0.5966
antoiner77/caddy-ansible,config_2_1,0.5966
antoiner77/caddy-ansible,config_2_2,0.5966
ANXS/postgresql,config_0_0,0.83936
ANXS/postgresql,config_0_1,0.83473
ANXS/postgresql,config_0_2,0.82979
ANXS/postgresql,config_1_0,0.79143
ANXS/postgresql,config_1_1,0.76655
ANXS/postgresql,config_1_2,0.77051
ANXS/postgresql,config_2_0,0.83727
ANXS/postgresql,config_2_1,0.85454
ANXS/postgresql,config_2_2,0.8587
arillso/ansible.logrotate,config_0_0,0.08333
arillso/ansible.logrotate,config_0_1,0.16667
arillso/ansible.logrotate,config_0_2,0.08333
arillso/ansible.logrotate,config_1_0,0.125
arillso/ansible.logrotate,config_1_1,0.125
arillso/ansible.logrotate,config_1_2,0.125
arillso/ansible.logrotate,config_2_0,0.125
arillso/ansible.logrotate,config_2_1,0.04167
arillso/ansible.logrotate,config_2_2,0.125
automium/service-kubernetes,config_0_0,0.48062
automium/service-kubernetes,config_0_1,0.47989
automium/service-kubernetes,config_0_2,0.47704
automium/service-kubernetes,config_1_0,0.47272
automium/service-kubernetes,config_1_1,0.47645
automium/service-kubernetes,config_1_2,0.47219
automium/service-kubernetes,config_2_0,0.50134
automium/service-kubernetes,config_2_1,0.49579
automium/service-kubernetes,config_2_2,0.49579
caktus/tequila-django,config_0_0,0.92125
caktus/tequila-django,config_0_1,0.94165
caktus/tequila-django,config_0_2,0.94165
caktus/tequila-django,config_1_0,0.75324
caktus/tequila-django,config_1_1,0.7804
caktus/tequila-django,config_1_2,0.75506
caktus/tequila-django,config_2_0,0.90085
caktus/tequila-django,config_2_1,0.90085
caktus/tequila-django,config_2_2,0.90085
cloudalchemy/ansible-alertmanager,config_0_0,0.65143
cloudalchemy/ansible-alertmanager,config_0_1,0.63678
cloudalchemy/ansible-alertmanager,config_0_2,0.64136
cloudalchemy/ansible-alertmanager,config_1_0,0.72521
cloudalchemy/ansible-alertmanager,config_1_1,0.66996
cloudalchemy/ansible-alertmanager,config_1_2,0.6846
cloudalchemy/ansible-alertmanager,config_2_0,0.61621
cloudalchemy/ansible-alertmanager,config_2_1,0.61621
cloudalchemy/ansible-alertmanager,config_2_2,0.63906
cloudalchemy/ansible-blackbox-exporter,config_0_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_0_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_0_2,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_2,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_2,100.000
cloudalchemy/ansible-grafana,config_0_0,0.71925
cloudalchemy/ansible-grafana,config_0_1,0.71925
cloudalchemy/ansible-grafana,config_0_2,0.71455
cloudalchemy/ansible-grafana,config_1_0,0.63219
cloudalchemy/ansible-grafana,config_1_1,0.61893
cloudalchemy/ansible-grafana,config_1_2,0.6208
cloudalchemy/ansible-grafana,config_2_0,0.64185
cloudalchemy/ansible-grafana,config_2_1,0.64872
cloudalchemy/ansible-grafana,config_2_2,0.64055
cloudalchemy/ansible-node-exporter,config_0_0,0.85997
cloudalchemy/ansible-node-exporter,config_0_1,0.85997
cloudalchemy/ansible-node-exporter,config_0_2,0.85281
cloudalchemy/ansible-node-exporter,config_1_0,0.86772
cloudalchemy/ansible-node-exporter,config_1_1,0.86772
cloudalchemy/ansible-node-exporter,config_1_2,0.86219
cloudalchemy/ansible-node-exporter,config_2_0,0.85281
cloudalchemy/ansible-node-exporter,config_2_1,0.85997
cloudalchemy/ansible-node-exporter,config_2_2,0.85281
cloudalchemy/ansible-prometheus,config_0_0,0.90728
cloudalchemy/ansible-prometheus,config_0_1,0.90728
cloudalchemy/ansible-prometheus,config_0_2,0.90728
cloudalchemy/ansible-prometheus,config_1_0,0.86365
cloudalchemy/ansible-prometheus,config_1_1,0.86545
cloudalchemy/ansible-prometheus,config_1_2,0.85607
cloudalchemy/ansible-prometheus,config_2_0,0.87397
cloudalchemy/ansible-prometheus,config_2_1,0.87576
cloudalchemy/ansible-prometheus,config_2_2,0.87576
cloudalchemy/ansible-pushgateway,config_0_0,100.000
cloudalchemy/ansible-pushgateway,config_0_1,100.000
cloudalchemy/ansible-pushgateway,config_0_2,100.000
cloudalchemy/ansible-pushgateway,config_1_0,0.91453
cloudalchemy/ansible-pushgateway,config_1_1,0.9
cloudalchemy/ansible-pushgateway,config_1_2,0.91453
cloudalchemy/ansible-pushgateway,config_2_0,100.000
cloudalchemy/ansible-pushgateway,config_2_1,100.000
cloudalchemy/ansible-pushgateway,config_2_2,100.000
cloudalchemy/ansible-smokeping_prober,config_0_0,0
cloudalchemy/ansible-smokeping_prober,config_0_1,0
cloudalchemy/ansible-smokeping_prober,config_0_2,0
cloudalchemy/ansible-smokeping_prober,config_1_0,0
cloudalchemy/ansible-smokeping_prober,config_1_1,0
cloudalchemy/ansible-smokeping_prober,config_1_2,0
cloudalchemy/ansible-smokeping_prober,config_2_0,0
cloudalchemy/ansible-smokeping_prober,config_2_1,0
cloudalchemy/ansible-smokeping_prober,config_2_2,0
CoffeeITWorks/ansible_burp2_server,config_0_0,0.72861
CoffeeITWorks/ansible_burp2_server,config_0_1,0.73746
CoffeeITWorks/ansible_burp2_server,config_0_2,0.74809
CoffeeITWorks/ansible_burp2_server,config_1_0,0.6699
CoffeeITWorks/ansible_burp2_server,config_1_1,0.66801
CoffeeITWorks/ansible_burp2_server,config_1_2,0.66264
CoffeeITWorks/ansible_burp2_server,config_2_0,0.74448
CoffeeITWorks/ansible_burp2_server,config_2_1,0.74448
CoffeeITWorks/ansible_burp2_server,config_2_2,0.74448
CSCfi/ansible-role-slurm,config_0_0,0.92154
CSCfi/ansible-role-slurm,config_0_1,0.93162
CSCfi/ansible-role-slurm,config_0_2,0.91965
CSCfi/ansible-role-slurm,config_1_0,0.81767
CSCfi/ansible-role-slurm,config_1_1,0.83062
CSCfi/ansible-role-slurm,config_1_2,0.83268
CSCfi/ansible-role-slurm,config_2_0,0.92363
CSCfi/ansible-role-slurm,config_2_1,0.92595
CSCfi/ansible-role-slurm,config_2_2,0.9251
CSCfi/ansible-role-users,config_0_0,100.000
CSCfi/ansible-role-users,config_0_1,100.000
CSCfi/ansible-role-users,config_0_2,100.000
CSCfi/ansible-role-users,config_1_0,100.000
CSCfi/ansible-role-users,config_1_1,100.000
CSCfi/ansible-role-users,config_1_2,100.000
CSCfi/ansible-role-users,config_2_0,100.000
CSCfi/ansible-role-users,config_2_1,100.000
CSCfi/ansible-role-users,config_2_2,100.000
DataDog/ansible-datadog,config_0_0,0.79739
DataDog/ansible-datadog,config_0_1,0.79739
DataDog/ansible-datadog,config_0_2,0.79739
DataDog/ansible-datadog,config_1_0,0.72931
DataDog/ansible-datadog,config_1_1,0.72555
DataDog/ansible-datadog,config_1_2,0.72555
DataDog/ansible-datadog,config_2_0,0.79739
DataDog/ansible-datadog,config_2_1,0.79739
DataDog/ansible-datadog,config_2_2,0.79739
DavidWittman/ansible-redis,config_0_0,0.73168
DavidWittman/ansible-redis,config_0_1,0.74561
DavidWittman/ansible-redis,config_0_2,0.72593
DavidWittman/ansible-redis,config_1_0,0.71545
DavidWittman/ansible-redis,config_1_1,0.68094
DavidWittman/ansible-redis,config_1_2,0.72944
DavidWittman/ansible-redis,config_2_0,0.7555
DavidWittman/ansible-redis,config_2_1,0.7591
DavidWittman/ansible-redis,config_2_2,0.72049
diodonfrost/ansible-role-mariadb,config_0_0,100.000
diodonfrost/ansible-role-mariadb,config_0_1,100.000
diodonfrost/ansible-role-mariadb,config_0_2,100.000
diodonfrost/ansible-role-mariadb,config_1_0,0.25
diodonfrost/ansible-role-mariadb,config_1_1,0.25
diodonfrost/ansible-role-mariadb,config_1_2,0.28571
diodonfrost/ansible-role-mariadb,config_2_0,100.000
diodonfrost/ansible-role-mariadb,config_2_1,100.000
diodonfrost/ansible-role-mariadb,config_2_2,100.000
dj-wasabi/ansible-telegraf,config_0_0,0.63248
dj-wasabi/ansible-telegraf,config_0_1,0.5856
dj-wasabi/ansible-telegraf,config_0_2,0.60243
dj-wasabi/ansible-telegraf,config_1_0,0.54235
dj-wasabi/ansible-telegraf,config_1_1,0.55662
dj-wasabi/ansible-telegraf,config_1_2,0.49784
dj-wasabi/ansible-telegraf,config_2_0,0.65958
dj-wasabi/ansible-telegraf,config_2_1,0.67352
dj-wasabi/ansible-telegraf,config_2_2,0.634
dokku/ansible-dokku,config_0_0,0.91137
dokku/ansible-dokku,config_0_1,100.000
dokku/ansible-dokku,config_0_2,0.91137
dokku/ansible-dokku,config_1_0,0.6906
dokku/ansible-dokku,config_1_1,0.86785
dokku/ansible-dokku,config_1_2,0.58815
dokku/ansible-dokku,config_2_0,0.91137
dokku/ansible-dokku,config_2_1,0.91137
dokku/ansible-dokku,config_2_2,0.86785
elastic/ansible-beats,config_0_0,0.52361
elastic/ansible-beats,config_0_1,0.50178
elastic/ansible-beats,config_0_2,0.4291
elastic/ansible-beats,config_1_0,0.36243
elastic/ansible-beats,config_1_1,0.52361
elastic/ansible-beats,config_1_2,0.45694
elastic/ansible-beats,config_2_0,0.45694
elastic/ansible-beats,config_2_1,0.45694
elastic/ansible-beats,config_2_2,0.52361
elastic/ansible-elasticsearch,config_0_0,0.80033
elastic/ansible-elasticsearch,config_0_1,0.78854
elastic/ansible-elasticsearch,config_0_2,0.79497
elastic/ansible-elasticsearch,config_1_0,0.72331
elastic/ansible-elasticsearch,config_1_1,0.70979
elastic/ansible-elasticsearch,config_1_2,0.70185
elastic/ansible-elasticsearch,config_2_0,0.77569
elastic/ansible-elasticsearch,config_2_1,0.7916
elastic/ansible-elasticsearch,config_2_2,0.76956
evrardjp/ansible-keepalived,config_0_0,0.9292
evrardjp/ansible-keepalived,config_0_1,0.9292
evrardjp/ansible-keepalived,config_0_2,0.9292
evrardjp/ansible-keepalived,config_1_0,0.86795
evrardjp/ansible-keepalived,config_1_1,0.86253
evrardjp/ansible-keepalived,config_1_2,0.86795
evrardjp/ansible-keepalived,config_2_0,0.92518
evrardjp/ansible-keepalived,config_2_1,0.91767
evrardjp/ansible-keepalived,config_2_2,0.92518
fgci-org/ansible-role-cuda,config_0_0,0.54685
fgci-org/ansible-role-cuda,config_0_1,0.54685
fgci-org/ansible-role-cuda,config_0_2,0.54685
fgci-org/ansible-role-cuda,config_1_0,0.51635
fgci-org/ansible-role-cuda,config_1_1,0.44418
fgci-org/ansible-role-cuda,config_1_2,0.45534
fgci-org/ansible-role-cuda,config_2_0,0.54685
fgci-org/ansible-role-cuda,config_2_1,0.54685
fgci-org/ansible-role-cuda,config_2_2,0.54685
florianutz/Ubuntu1604-CIS,config_0_0,0.57454
florianutz/Ubuntu1604-CIS,config_0_1,0.57454
florianutz/Ubuntu1604-CIS,config_0_2,0.57454
florianutz/Ubuntu1604-CIS,config_1_0,0.57454
florianutz/Ubuntu1604-CIS,config_1_1,0.57454
florianutz/Ubuntu1604-CIS,config_1_2,0.57454
florianutz/Ubuntu1604-CIS,config_2_0,0.57454
florianutz/Ubuntu1604-CIS,config_2_1,0.57454
florianutz/Ubuntu1604-CIS,config_2_2,0.59682
florianutz/Ubuntu1804-CIS,config_0_0,0.64859
florianutz/Ubuntu1804-CIS,config_0_1,0.6548
florianutz/Ubuntu1804-CIS,config_0_2,0.68147
florianutz/Ubuntu1804-CIS,config_1_0,0.68327
florianutz/Ubuntu1804-CIS,config_1_1,0.64049
florianutz/Ubuntu1804-CIS,config_1_2,0.68327
florianutz/Ubuntu1804-CIS,config_2_0,0.72078
florianutz/Ubuntu1804-CIS,config_2_1,0.71021
florianutz/Ubuntu1804-CIS,config_2_2,0.67123
galaxyproject/ansible-galaxy,config_0_0,0.68334
galaxyproject/ansible-galaxy,config_0_1,0.69757
galaxyproject/ansible-galaxy,config_0_2,0.69062
galaxyproject/ansible-galaxy,config_1_0,0.63707
galaxyproject/ansible-galaxy,config_1_1,0.64005
galaxyproject/ansible-galaxy,config_1_2,0.63415
galaxyproject/ansible-galaxy,config_2_0,0.71734
galaxyproject/ansible-galaxy,config_2_1,0.71749
galaxyproject/ansible-galaxy,config_2_2,0.72113
galaxyproject/ansible-galaxy-tools,config_0_0,0
galaxyproject/ansible-galaxy-tools,config_0_1,0
galaxyproject/ansible-galaxy-tools,config_0_2,0
galaxyproject/ansible-galaxy-tools,config_1_0,0
galaxyproject/ansible-galaxy-tools,config_1_1,0
galaxyproject/ansible-galaxy-tools,config_1_2,0
galaxyproject/ansible-galaxy-tools,config_2_0,0
galaxyproject/ansible-galaxy-tools,config_2_1,0
galaxyproject/ansible-galaxy-tools,config_2_2,0
Graylog2/graylog-ansible-role,config_0_0,0.19106
Graylog2/graylog-ansible-role,config_0_1,0.20032
Graylog2/graylog-ansible-role,config_0_2,0.19106
Graylog2/graylog-ansible-role,config_1_0,0.24499
Graylog2/graylog-ansible-role,config_1_1,0.24499
Graylog2/graylog-ansible-role,config_1_2,0.22714
Graylog2/graylog-ansible-role,config_2_0,0.36322
Graylog2/graylog-ansible-role,config_2_1,0.38107
Graylog2/graylog-ansible-role,config_2_2,0.36322
hadret/ansible-role-containers,config_0_0,0.12201
hadret/ansible-role-containers,config_0_1,0.12201
hadret/ansible-role-containers,config_0_2,0.12201
hadret/ansible-role-containers,config_1_0,0.12201
hadret/ansible-role-containers,config_1_1,0.12201
hadret/ansible-role-containers,config_1_2,0.45534
hadret/ansible-role-containers,config_2_0,0.45534
hadret/ansible-role-containers,config_2_1,0.45534
hadret/ansible-role-containers,config_2_2,0.12201
HanXHX/ansible-debian-bootstrap,config_0_0,0.81566
HanXHX/ansible-debian-bootstrap,config_0_1,0.78845
HanXHX/ansible-debian-bootstrap,config_0_2,0.78845
HanXHX/ansible-debian-bootstrap,config_1_0,0.48039
HanXHX/ansible-debian-bootstrap,config_1_1,0.47736
HanXHX/ansible-debian-bootstrap,config_1_2,0.48853
HanXHX/ansible-debian-bootstrap,config_2_0,0.65472
HanXHX/ansible-debian-bootstrap,config_2_1,0.6906
HanXHX/ansible-debian-bootstrap,config_2_2,0.73956
HanXHX/ansible-nginx,config_0_0,0.653
HanXHX/ansible-nginx,config_0_1,0.653
